route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2362-2705,A,2135,Søndre Mangen/Bjørkelangen us.,,3,,FFFFFF,000000
2362-2706,A,2137,Harkerud veikryss/Bjørkelangen us.,,3,,FFFFFF,000000
2362-2707,A,2138,Trosterud/Bjørkelangen vgs.,,3,,FFFFFF,000000
2362-2708,A,2139,Einerhaugen/Bjørkelangen us.,,3,,FFFFFF,000000
2362-2709,A,2140,Bjørkelangen u. skole/Liermosen,,3,,FFFFFF,000000
2362-2710,A,2141,Sjøberg/Løken,,3,,FFFFFF,000000
2362-2711,A,2142,Smedsrud/Løken,,3,,FFFFFF,000000
2362-2712,A,2143,Brangerud/Bråte skole,,3,,FFFFFF,000000
2362-2713,A,2144,Løken/Bråte skole,,3,,FFFFFF,000000
2362-2714,A,2145,Halvorsrud bru/Bråte skole,,3,,FFFFFF,000000
2362-2715,A,2146,Bråte skole/Bjørkelangen terminal,,3,,FFFFFF,000000
2362-2716,A,2147,Bråte skole/Grasåsen,,3,,FFFFFF,000000
2362-2717,A,2148,Verket/Bråte skole,,3,,FFFFFF,000000
2362-2718,A,2150,Sollum/Bråte skole,,3,,FFFFFF,000000
2362-2719,A,2151,Skjeggenes/Setskog skole,,3,,FFFFFF,000000
2362-2720,A,2171,Furukollen/Bjørkelangen vgs.,,3,,FFFFFF,000000
2362-2721,A,2172,Basmo/Kjelle skole,,3,,FFFFFF,000000
2362-2722,A,2173,Lørenfallet/Bjørkelangen terminal,,3,,FFFFFF,000000
2362-2723,A,2174,Studsrud/Bjørkelangen terminal,,3,,FFFFFF,000000
2362-2724,A,2175,Bjørkelangen/Krokedal,,3,,FFFFFF,000000
2362-2725,A,2631,Sørum skole/Lørenfallet,,3,,FFFFFF,000000
2362-2726,A,2632,Fjuk skole/Haugtun skole,,3,,FFFFFF,000000
2362-2727,A,2633,Berg/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2728,A,2634,Bjørkelangen/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2729,A,2635,Haugtun skole/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2730,A,2636,Haugtun skole/Mork,,3,,FFFFFF,000000
2362-2731,A,2639,Vardefjellet/Melvold us.,,3,,FFFFFF,000000
2362-2732,A,2640,Knatten/Melvold us.,,3,,FFFFFF,000000
2362-2733,A,2642,Vardefjellet/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2734,A,2671,Sundet/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2735,A,2672,Årnes stasjon/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2736,A,2673,Mork/Sørumsand stasjon,,3,,FFFFFF,000000
2362-2737,A,2731,Vinsnes/Sundet,,3,,FFFFFF,000000
2362-2738,A,2732,Dammerud/Riddersand skole,,3,,FFFFFF,000000
2362-2739,A,2733,Stigen/Dalen skole,,3,,FFFFFF,000000
2362-2740,A,2734,Krokedal/Sundet,,3,,FFFFFF,000000
2362-2741,A,2872,Blystadlia/Rælingen vgs.,,3,,FFFFFF,000000
2362-2742,A,2873,Røykåsveien/Rælingen rådhus,,3,,FFFFFF,000000
2362-2743,A,3073,Vallerudtoppen/Knatten,,3,,FFFFFF,000000
2362-2744,A,3131,Vardeåsen/Tærudhallen,,3,,FFFFFF,000000
2362-2745,A,3132,Åsenhagen skole/Solberg,,3,,FFFFFF,000000
2362-2746,A,3172,Kongskog/Vestbygata,,3,,FFFFFF,000000
2362-2747,A,3175,Knatten/Rælingen vgs.,,3,,FFFFFF,000000
2362-2748,A,3176,Rolvsrud/Vestbygata,,3,,FFFFFF,000000
2362-2749,A,3331,Kongskog/Li,,3,,FFFFFF,000000
2362-2750,A,3333,Åneby stasjon/Kirkeby skole,,3,,FFFFFF,000000
2362-2751,A,3334,Åneby/Kongskog,,3,,FFFFFF,000000
2362-2752,A,3335,Hellerudhaugen/Kongskog,,3,,FFFFFF,000000
2362-2753,A,3371,Lillestrøm terminal/Bjertnes vgs,,3,,FFFFFF,000000
2362-2754,A,3372,Hellerudhaugen/Bjertnes vgs,,3,,FFFFFF,000000
2362-2755,A,3373,Hagan/Dam,,3,,FFFFFF,000000
2362-2756,A,3374,Skedsmokorset/Bjertnes vgs,,3,,FFFFFF,000000
2362-2757,A,3676,Bjørkelangen/Nes vgs.,,3,,FFFFFF,000000
2362-2758,A,3677,Lørenfallet/Hellne,,3,,FFFFFF,000000
2362-2759,A,3682,Lørenfallet/Hvam vgs.,,3,,FFFFFF,000000
2362-2760,A,3684,Hvam vg. skole/Bjørkelangen,,3,,FFFFFF,000000
2362-2761,A,3871,Rotnes/Nannestad vgs.,,3,,FFFFFF,000000
2410-2521,A,521X,Tusenfryd/Ski terminal,,3,,FFFFFF,000000
2410-3500,A,500X,Tusenfryd/Oslo Bussterminal,,3,,FFFFFF,000000
2528-344,J,FB2,Hotel Scandinavia/Oslo Lufthavn,,3,,FFFFFF,000000
2696-500,A,500,Drøbak brygge/Oslo Bussterminal,,3,,FFFFFF,000000
2696-506,A,506,Klommestein/Frogn vgs,,3,,FFFFFF,000000
2696-507,A,507,Elleveien/Dyrløkke,,3,,FFFFFF,000000
2696-510,A,510,Bøleråsen/Drøbak,,3,,FFFFFF,000000
2696-511,A,511,Stenfeltlia/Ski stasjon,,3,,FFFFFF,000000
2696-512,A,512,Ski terminal/Ski stasjon,,3,,FFFFFF,000000
2696-513,A,513,Greverud kirke/Ski stasjon,,3,,FFFFFF,000000
2696-515,A,515,Sværsvann bru/Ski stasjon,,3,,FFFFFF,000000
2696-516,A,516,Siggerud/Vevelstad stasjon,,3,,FFFFFF,000000
2696-520,A,520,Vinterbrosenteret/Ski stasjon,,3,,FFFFFF,000000
2696-521,A,521,Tusenfryd/Ski stasjon,,3,,FFFFFF,000000
2696-522,A,522,Ski terminal/Ski terminal,,3,,FFFFFF,000000
2696-525,A,525,Bjastad/Ski stasjon,,3,,FFFFFF,000000
2696-526,A,526,Ski terminal/Ellingsrudlia-Ski stasjon,,3,,FFFFFF,000000
2696-530,A,530,Jonas Wessels vei/Vestby stasjon,,3,,FFFFFF,000000
2696-532,A,532,Vestby stasjon/Kjenn-Garder-Vestby stasjon,,3,,FFFFFF,000000
2696-535,A,535,Garder kirke/Ås stasjon,,3,,FFFFFF,000000
2696-536,A,536,Eldor/Ås stasjon,,3,,FFFFFF,000000
2696-540,A,540,Moss bussterminal/Vestby stasjon,,3,,FFFFFF,000000
2696-545,A,545,Brevikbukta/Sonsveien stasjon,,3,,FFFFFF,000000
2696-550,A,550,Lillestrøm terminal/Enebakk kirke,,3,,FFFFFF,000000
2696-551,A,551,Enebakk kirke/Dalefjerdingen,,3,,FFFFFF,000000
2696-555,A,555,Enebakk kirke/Ski stasjon,,3,,FFFFFF,000000
2696-560,A,560,Jaer skole/Nesoddtangen,,3,,FFFFFF,000000
2696-565,A,565,Torneveien/Nesoddtangen,,3,,FFFFFF,000000
2696-570,A,570,Sjøskogen/Nesoddtangen,,3,,FFFFFF,000000
2696-575,A,575,Torneveien/Nesoddtangen,,3,,FFFFFF,000000
2696-576,A,576,Torneveien/Vinterbro,,3,,FFFFFF,000000
2696-2500,A,500E,Seiersten/Oslo Bussterminal,,3,,FFFFFF,000000
2696-2590,A,N590,Oslo Bussterminal/Son,,3,,FFFFFF,000000
2696-2801,A,1132,Hølen/Vestby stasjon,,3,,FFFFFF,000000
2696-2802,A,1171,Dyrløkke/Vestby stasjon,,3,,FFFFFF,000000
2696-2803,A,1331,Siggerud/Bru-Siggerud,,3,,FFFFFF,000000
2696-2804,A,1333,Retvedt/Kråkstad skole,,3,,FFFFFF,000000
2696-2805,A,1371,Ski terminal/Ski næringspark,,3,,FFFFFF,000000
2696-2806,A,1431,Kjærnes/Nordby skole,,3,,FFFFFF,000000
2696-2807,A,1433,Kroer skole/Kaxrud,,3,,FFFFFF,000000
2696-2808,A,1434,Nyveien/Brønnerud-Holstad,,3,,FFFFFF,000000
2696-2809,A,1435,Rustad skole/Dyster/Eldor,,3,,FFFFFF,000000
2696-2810,A,1436,Fålesloråsen/Nordby skole,,3,,FFFFFF,000000
2696-2811,A,1531,Holtbråten/Dal skole,,3,,FFFFFF,000000
2696-2812,A,1533,Tomter/Heer,,3,,FFFFFF,000000
2696-2813,A,1572,Eikeliveien/Frogn vgs.,,3,,FFFFFF,000000
2696-2814,A,1631,Fjellstrand skole/Alværn,,3,,FFFFFF,000000
2696-2815,A,1632,Jaer skole/Alværn,,3,,FFFFFF,000000
2696-2816,A,1672,Torneveien/Nesodden vgs,,3,,FFFFFF,000000
2696-2817,A,2931,Enebakk kirke/Dalefjerdingen,,3,,FFFFFF,000000
2696-2818,A,2932,Ekebergdalen/Enebakk kirke,,3,,FFFFFF,000000
2696-2819,A,3071,Enebakk kirke/Lørenskog sentrum,,3,,FFFFFF,000000
2696-3590,A,590E,Vestby stasjon/Ryen T,,3,,FFFFFF,000000
2768-121,A,121,Sandvika terminal/Oslo Bussterminal,,3,,FFFFFF,000000
2768-122,A,122,Vangkroken/Hammersborggata ,,3,,FFFFFF,000000
2768-129,A,129,Smestad/Oslo Bussterminal,,3,,FFFFFF,000000
2768-131,A,131,Bekkestua terminal/Jar skole,,3,,FFFFFF,000000
2768-132,A,132,Lønnås/Hammersborggata ,,3,,FFFFFF,000000
2768-139,A,139,Hosleveien/Oslo Bussterminal,,3,,FFFFFF,000000
2768-143,A,143,Gullhaug/Oslo Bussterminal,,3,,FFFFFF,000000
2768-144,A,144,Bykrysset/Hammersborggata ,,3,,FFFFFF,000000
2768-149,A,149,Gullhaug/Oslo Bussterminal,,3,,FFFFFF,000000
2768-151,A,151,Rykkinn/Oslo Bussterminal,,3,,FFFFFF,000000
2768-152,A,152,Rykkinn/Oslo Bussterminal,,3,,FFFFFF,000000
2768-156,A,156,Rykkinn/Ullevål stadion,,3,,FFFFFF,000000
2768-159,A,159,Rykkinn/Oslo Bussterminal,,3,,FFFFFF,000000
2768-242,A,242,Vesthellinga/Oslo Bussterminal,,3,,FFFFFF,000000
2768-251,A,251,Sætre terminal/Oslo bussterminal,,3,,FFFFFF,000000
2768-252,A,252,Slemmestad/Oslo bussterminal ,,3,,FFFFFF,000000
2768-253,A,253,Peterstua/Oslo bussterminal ,,3,,FFFFFF,000000
2768-259,A,259,Blakstad terminal/Oslo bussterminal,,3,,FFFFFF,000000
2768-261,A,261,Røyken rådhus/Ullevål stadion,,3,,FFFFFF,000000
2768-701,A,701,Rustadgrenda/Asker stasjon,,3,,FFFFFF,000000
2768-703,A,703,Konglungen/Vettre,,3,,FFFFFF,000000
2768-704,A,704,Barlindbekken/Blakstad,,3,,FFFFFF,000000
2768-705,A,705,Vesthellinga/Sandvika,,3,,FFFFFF,000000
2768-706,A,706,Asker stasjon/Vøyen,,3,,FFFFFF,000000
2768-707,A,707,Asker stasjon/Sandvika,,3,,FFFFFF,000000
2768-713,A,713,Asker stasjon/Blakstad,,3,,FFFFFF,000000
2768-720,A,720,Guibekken/Vollen,,3,,FFFFFF,000000
2768-721,A,721,Asker/Vardåsen,,3,,FFFFFF,000000
2768-722,A,722,Asker/Blakstad,,3,,FFFFFF,000000
2768-723,A,723,Asker/Konglungen,,3,,FFFFFF,000000
2768-724,A,724,Asker/Borgen,,3,,FFFFFF,000000
2768-725,A,725,Asker/Rortunet,,3,,FFFFFF,000000
2768-726,A,726,Asker/Høn,,3,,FFFFFF,000000
2768-731,A,731,Sandvika terminal/Bekkestua,,3,,FFFFFF,000000
2768-732,A,732,Sandvika terminal/Ila,,3,,FFFFFF,000000
2768-733,A,733,Økri/Snarøya,,3,,FFFFFF,000000
2768-751,A,751,Sandvika/Rud,,3,,FFFFFF,000000
2768-753,A,753,Bykrysset/Sandvika,,3,,FFFFFF,000000
2768-761,A,761,Smestad/Sandvika,,3,,FFFFFF,000000
2768-762,A,762,Kattås/Sandvika,,3,,FFFFFF,000000
2768-771,A,771,Bekkestua terminal/Bekkestua-Sandvika,,3,,FFFFFF,000000
2768-772,A,772,Bekkestua/Østerås,,3,,FFFFFF,000000
2768-773,A,773,Bekkestua terminal/Bekkestua-Høvik,,3,,FFFFFF,000000
2768-774,A,774,Bekkestua terminal/Bekkestua-Ekern,,3,,FFFFFF,000000
2768-775,A,775,Kleivveien/Bekkestua-Kleivveien,,3,,FFFFFF,000000
2768-781,A,781,Sandvika terminal/Sandvika-Jong,,3,,FFFFFF,000000
2768-782,A,782,Tanum kirke/Sandvika-Tanum,,3,,FFFFFF,000000
2768-783,A,783,Skui eldresenter/Sandvika-Skui,,3,,FFFFFF,000000
2768-784,A,785,Rykkinn senter/Sandvika-Rykkinn,,3,,FFFFFF,000000
2768-785,A,785,Sandvika terminal/Sandvika-Gjettum,,3,,FFFFFF,000000
2768-2851,A,1919,Brenna/Skui skole,,3,,FFFFFF,000000
2768-2852,A,2004,Høymyrfjellet/Arnestad skole,,3,,FFFFFF,000000
2768-2853,A,2015,Vesthellinga/Landøya,,3,,FFFFFF,000000
2768-2854,A,2018,Undelstad/Torstad skole,,3,,FFFFFF,000000
2768-2855,A,2019,Sætre terrasse/Heggedal skole,,3,,FFFFFF,000000
3162-11,A,11,Kjelsås/Majorstuen,,0,,FFFFFF,000000
3162-12,A,12,Kjelsås/Majorstuen,,0,,FFFFFF,000000
3162-13,A,13,Grefsen stasjon/Jar,,0,,FFFFFF,000000
3162-16,A,16,-/Brugata,,0,,FFFFFF,000000
3162-17,A,17,Grefsen stasjon/Rikshospitalet,,0,,FFFFFF,000000
3162-18,A,18,Rikshospitalet/Ljabru,,0,,FFFFFF,000000
3162-19,A,19,Ljabru/Majorstuen,,0,,FFFFFF,000000
3163-11,A,11,Kjelsås/Majorstuen,,0,,FFFFFF,000000
3163-12,A,12,Kjelsås/Majorstuen,,0,,FFFFFF,000000
3163-13,A,13,Grefsen stasjon/Jar,,0,,FFFFFF,000000
3163-17,A,17,Grefsen stasjon/Rikshospitalet,,0,,FFFFFF,000000
3163-18,A,18,Rikshospitalet/Ljabru,,0,,FFFFFF,000000
3163-19,A,19,Ljabru/Majorstuen,,0,,FFFFFF,000000
3164-11,A,11,Kjelsås/Majorstuen,,0,,FFFFFF,000000
3164-12,A,12,Kjelsås/Majorstuen,,0,,FFFFFF,000000
3164-13,A,13,Grefsen stasjon/Jar,,0,,FFFFFF,000000
3164-17,A,17,Grefsen stasjon/Rikshospitalet,,0,,FFFFFF,000000
3164-18,A,18,Ljabru/Rikshospitalet,,0,,FFFFFF,000000
3164-19,A,19,Ljabru/Majorstuen,,0,,FFFFFF,000000
3277-20,A,20,Skøyen stasjon/Galgeberg,,3,,FFFFFF,000000
3277-21,A,21,Bryggetorget/Helsfyr T,,3,,FFFFFF,000000
3277-22,A,22,Majorstuen/Ellingsrudåsen,,3,,FFFFFF,000000
3277-23,A,23,Lysaker/Simensbråten,,3,,FFFFFF,000000
3277-24,A,24,Fornebu vest/Brynseng T,,3,,FFFFFF,000000
3277-25,A,25,Årvoll senter/Lørenskog stasjon,,3,,FFFFFF,000000
3277-28,A,28,Fornebu vest/Helsfyr T,,3,,FFFFFF,000000
3277-34,A,34,Tåsen senter/Ekeberg hageby,,3,,FFFFFF,000000
3277-37,A,37,Gullhaugveien/Helsfyr T,,3,,FFFFFF,000000
3277-54,A,54,Kjelsås stasjon/Jernbanetorget,,3,,FFFFFF,000000
3277-61,A,61A,Tveita T/Solfjellet,,3,,FFFFFF,000000
3277-70,A,70,Rådhuset/Skullerud T,,3,,FFFFFF,000000
3277-71,A,71A,Mortensrud T/Bjørndal,,3,,FFFFFF,000000
3277-72,A,72A,Mortensrud T/Dal,,3,,FFFFFF,000000
3277-74,A,74,Vika/Mortensrud,,3,,FFFFFF,000000
