from_stop_id,to_stop_id,transfer_type,min_transfer_time
2140234,2140234,0,
2140240,2140240,2,60
2140248,2140248,0,
2140250,2140250,0,
2140251,2140251,0,
2140260,2140260,0,
2140290,2140290,0,
2150020,2150020,2,60
2150030,2150030,2,60
2150060,2150060,0,
2150160,2150160,0,
2150180,2150180,2,60
2150191,2150191,2,60
2150192,2150192,0,
2150229,2150229,0,
2150440,2150440,0,
2150552,2150552,0,
2150554,2150554,0,
2150630,2150630,2,60
2150640,2150640,0,
2150641,2150641,0,
2150660,2150660,2,60
2150740,2150740,0,
2150785,2150785,0,
2150800,2150800,0,
2150810,2150810,0,
2160005,2160005,2,60
2160006,2160006,0,
2160007,2160007,0,
2160010,2160010,0,
2160012,2160012,0,
2160020,2160020,0,
2160060,2160060,0,
2160064,2160064,0,
2160170,2160170,0,
2160180,2160180,0,
2160225,2160225,0,
2160300,2160300,0,
2160320,2160320,2,60
2160321,2160321,2,60
2160340,2160340,0,
2160410,2160410,0,
2160460,2160460,0,
2160472,2160472,0,
2160520,2160520,2,60
2160530,2160530,0,
2160550,2160550,0,
2170003,2170003,0,
2170005,2170005,0,
2170018,2170018,0,
2170042,2170042,0,
2170075,2170075,0,
2170088,2170088,0,
2170090,2170090,0,
2170101,2170101,0,
2170102,2170102,0,
2170105,2170105,0,
2170107,2170107,0,
2170149,2170149,0,
2170150,2170150,0,
2170156,2170156,0,
2170160,2170160,0,
2170162,2170162,0,
2170180,2170180,0,
2170201,2170201,0,
2170210,2170210,0,
2170297,2170297,0,
2170299,2170299,0,
2190001,2190001,0,
2190004,2190004,0,
2190005,2190005,0,
2190007,2190007,0,
2190008,2190008,0,
2190009,2190009,0,
2190017,2190017,0,
2190018,2190018,0,
2190019,2190019,0,
2190022,2190022,0,
2190023,2190023,0,
2190025,2190025,0,
2190040,2190040,0,
2190048,2190048,0,
2190050,2190050,0,
2190051,2190051,0,
2190052,2190052,0,
2190054,2190054,0,
2190060,2190060,0,
2190066,2190066,0,
2190070,2190070,0,
2190071,2190071,0,
2190080,2190080,0,
2190083,2190083,0,
2190084,2190084,0,
2190085,2190085,0,
2190090,2190090,0,
2190091,2190091,0,
2190101,2190101,0,
2190119,2190119,0,
2190120,2190120,0,
2190145,2190145,0,
2190148,2190148,0,
2190149,2190149,0,
2190150,2190150,0,
2190160,2190160,0,
2190165,2190165,0,
2190170,2190170,0,
2190175,2190175,0,
2190180,2190180,0,
2190181,2190181,0,
2190201,2190201,0,
2190205,2190205,0,
2190211,2190211,0,
2190218,2190218,0,
2190219,2190219,0,
2190220,2190220,0,
2190235,2190235,0,
2190238,2190238,0,
2190240,2190240,0,
2190242,2190242,0,
2190245,2190245,0,
2190255,2190255,0,
2190275,2190275,0,
2190280,2190280,0,
2190281,2190281,0,
2190301,2190301,0,
2190308,2190308,0,
2190315,2190315,0,
2190321,2190321,0,
2190322,2190322,0,
2190342,2190342,0,
2190350,2190350,0,
2190355,2190355,0,
2190360,2190360,0,
2190361,2190361,0,
2190396,2190396,0,
2190398,2190398,0,
2190401,2190401,0,
2190430,2190430,0,
2190432,2190432,0,
2190433,2190433,0,
2190435,2190435,0,
2190440,2190440,0,
2190441,2190441,0,
2190449,2190449,0,
2190450,2190450,0,
2190451,2190451,2,60
2190475,2190475,0,
2190480,2190480,0,
2190490,2190490,0,
2190526,2190526,0,
2190527,2190527,0,
2190528,2190528,0,
2190655,2190655,0,
2190740,2190740,0,
2190746,2190746,0,
2190749,2190749,0,
2190753,2190753,0,
2190755,2190755,0,
2190760,2190760,0,
2190762,2190762,0,
2190768,2190768,0,
2190780,2190780,0,
2190782,2190782,0,
2190785,2190785,0,
2190790,2190790,0,
2190791,2190791,0,
2190793,2190793,0,
2190795,2190795,0,
2190815,2190815,0,
2190820,2190820,0,
2190822,2190822,0,
2190850,2190850,2,60
2190855,2190855,0,
2190862,2190862,0,
2190880,2190880,0,
2195136,2195136,0,
2200005,2200005,0,
2200022,2200022,0,
2200030,2200030,0,
2200115,2200115,2,60
2200120,2200120,0,
2200335,2200335,0,
2200391,2200391,0,
2200392,2200392,0,
2200393,2200393,0,
2200401,2200401,0,
2200435,2200435,0,
2200445,2200445,2,60
2200485,2200485,0,
2200501,2200501,0,
2200605,2200605,0,
2200615,2200615,0,
2200670,2200670,0,
2200685,2200685,0,
2200695,2200695,0,
